,response,prompt,alignment,prompt_number,category,origin,trial,model,temp,temperature
301,3,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,4,deepseek-chat,1.0,1.0
302,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,4,deepseek-chat,1.0,1.0
303,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,4,deepseek-chat,1.0,1.0
304,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,4,deepseek-chat,1.0,1.0
305,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,4,deepseek-chat,1.0,1.0
306,3,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,4,deepseek-chat,1.0,1.0
307,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,4,deepseek-chat,1.0,1.0
308,3,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,4,deepseek-chat,1.0,1.0
309,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,4,deepseek-chat,1.0,1.0
310,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,4,deepseek-chat,1.0,1.0
311,3,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,4,deepseek-chat,1.0,1.0
312,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",conservative,4.1,fairness,inverse,4,deepseek-chat,1.0,1.0
313,2,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,4,deepseek-chat,1.0,1.0
314,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,4,deepseek-chat,1.0,1.0
315,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,4,deepseek-chat,1.0,1.0
316,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,4,deepseek-chat,1.0,1.0
317,2,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,4,deepseek-chat,1.0,1.0
318,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,4,deepseek-chat,1.0,1.0
319,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,4,deepseek-chat,1.0,1.0
320,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,5,deepseek-chat,1.0,1.0
321,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,5,deepseek-chat,1.0,1.0
322,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,5,deepseek-chat,1.0,1.0
323,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,5,deepseek-chat,1.0,1.0
324,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,5,deepseek-chat,1.0,1.0
325,2,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,5,deepseek-chat,1.0,1.0
326,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,5,deepseek-chat,1.0,1.0
327,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,5,deepseek-chat,1.0,1.0
328,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,5,deepseek-chat,1.0,1.0
329,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,5,deepseek-chat,1.0,1.0
330,2,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,5,deepseek-chat,1.0,1.0
331,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,5,deepseek-chat,1.0,1.0
332,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,5,deepseek-chat,1.0,1.0
333,3,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,5,deepseek-chat,1.0,1.0
334,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,5,deepseek-chat,1.0,1.0
335,3,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,5,deepseek-chat,1.0,1.0
336,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,5,deepseek-chat,1.0,1.0
337,3,It can never be right to kill a human being.,liberal,5.2,harm,graham,5,deepseek-chat,1.0,1.0
338,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,5,deepseek-chat,1.0,1.0
339,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,5,deepseek-chat,1.0,1.0
340,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,5,deepseek-chat,1.0,1.0
341,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,5,deepseek-chat,1.0,1.0
342,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,5,deepseek-chat,1.0,1.0
343,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,5,deepseek-chat,1.0,1.0
344,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,5,deepseek-chat,1.0,1.0
345,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,5,deepseek-chat,1.0,1.0
346,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,5,deepseek-chat,1.0,1.0
347,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,5,deepseek-chat,1.0,1.0
348,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,5,deepseek-chat,1.0,1.0
349,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,5,deepseek-chat,1.0,1.0
350,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,5,deepseek-chat,1.0,1.0
351,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,5,deepseek-chat,1.0,1.0
352,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",liberal,4.1,fairness,inverse,5,deepseek-chat,1.0,1.0
353,3,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,5,deepseek-chat,1.0,1.0
354,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,5,deepseek-chat,1.0,1.0
355,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,5,deepseek-chat,1.0,1.0
356,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,5,deepseek-chat,1.0,1.0
357,3,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,5,deepseek-chat,1.0,1.0
358,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,5,deepseek-chat,1.0,1.0
359,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,5,deepseek-chat,1.0,1.0
360,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,5,deepseek-chat,1.0,1.0
361,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,5,deepseek-chat,1.0,1.0
362,4,Loyalty to one’s group is more important than one’s individual concerns.,conservative,1.3,ingroup,graham,5,deepseek-chat,1.0,1.0
363,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,5,deepseek-chat,1.0,1.0
364,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",conservative,2.1,fairness,graham,5,deepseek-chat,1.0,1.0
365,4,"In the fight against terrorism, some people’s rights will have to be violated.",conservative,2.2,fairness,graham,5,deepseek-chat,1.0,1.0
366,3,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,5,deepseek-chat,1.0,1.0
367,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,5,deepseek-chat,1.0,1.0
368,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,5,deepseek-chat,1.0,1.0
369,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,5,deepseek-chat,1.0,1.0
370,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,5,deepseek-chat,1.0,1.0
371,4,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",conservative,3.4,purity,graham,5,deepseek-chat,1.0,1.0
372,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,5,deepseek-chat,1.0,1.0
373,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,5,deepseek-chat,1.0,1.0
374,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,5,deepseek-chat,1.0,1.0
375,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,5,deepseek-chat,1.0,1.0
376,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,5,deepseek-chat,1.0,1.0
377,3,It can never be right to kill a human being.,conservative,5.2,harm,graham,5,deepseek-chat,1.0,1.0
378,3,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,5,deepseek-chat,1.0,1.0
379,4,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,5,deepseek-chat,1.0,1.0
380,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,5,deepseek-chat,1.0,1.0
381,3,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,5,deepseek-chat,1.0,1.0
382,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,5,deepseek-chat,1.0,1.0
383,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,5,deepseek-chat,1.0,1.0
384,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,5,deepseek-chat,1.0,1.0
385,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,5,deepseek-chat,1.0,1.0
386,2,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,5,deepseek-chat,1.0,1.0
387,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,5,deepseek-chat,1.0,1.0
388,2,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,5,deepseek-chat,1.0,1.0
389,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,5,deepseek-chat,1.0,1.0
390,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,5,deepseek-chat,1.0,1.0
391,3,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,5,deepseek-chat,1.0,1.0
392,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",conservative,4.1,fairness,inverse,5,deepseek-chat,1.0,1.0
393,3,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,5,deepseek-chat,1.0,1.0
394,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,5,deepseek-chat,1.0,1.0
395,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,5,deepseek-chat,1.0,1.0
396,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,5,deepseek-chat,1.0,1.0
397,2,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,5,deepseek-chat,1.0,1.0
398,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,5,deepseek-chat,1.0,1.0
399,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,5,deepseek-chat,1.0,1.0
400,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,6,deepseek-chat,1.0,1.0
401,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,6,deepseek-chat,1.0,1.0
402,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,6,deepseek-chat,1.0,1.0
403,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,6,deepseek-chat,1.0,1.0
404,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,6,deepseek-chat,1.0,1.0
405,3,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,6,deepseek-chat,1.0,1.0
406,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,6,deepseek-chat,1.0,1.0
407,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,6,deepseek-chat,1.0,1.0
408,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,6,deepseek-chat,1.0,1.0
409,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,6,deepseek-chat,1.0,1.0
410,2,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,6,deepseek-chat,1.0,1.0
411,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,6,deepseek-chat,1.0,1.0
412,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,6,deepseek-chat,1.0,1.0
413,3,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,6,deepseek-chat,1.0,1.0
414,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,6,deepseek-chat,1.0,1.0
415,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,6,deepseek-chat,1.0,1.0
416,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,6,deepseek-chat,1.0,1.0
417,3,It can never be right to kill a human being.,liberal,5.2,harm,graham,6,deepseek-chat,1.0,1.0
418,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,6,deepseek-chat,1.0,1.0
419,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,6,deepseek-chat,1.0,1.0
420,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,6,deepseek-chat,1.0,1.0
421,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,6,deepseek-chat,1.0,1.0
422,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,6,deepseek-chat,1.0,1.0
423,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,6,deepseek-chat,1.0,1.0
424,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,6,deepseek-chat,1.0,1.0
425,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,6,deepseek-chat,1.0,1.0
426,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,6,deepseek-chat,1.0,1.0
427,1,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,6,deepseek-chat,1.0,1.0
428,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,6,deepseek-chat,1.0,1.0
429,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,6,deepseek-chat,1.0,1.0
430,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,6,deepseek-chat,1.0,1.0
431,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,6,deepseek-chat,1.0,1.0
432,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",liberal,4.1,fairness,inverse,6,deepseek-chat,1.0,1.0
433,3,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,6,deepseek-chat,1.0,1.0
434,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,6,deepseek-chat,1.0,1.0
435,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,6,deepseek-chat,1.0,1.0
436,4,Men and women can play the same roles in society.,liberal,5.1,authority,inverse,6,deepseek-chat,1.0,1.0
437,3,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",liberal,5.2,authority,inverse,6,deepseek-chat,1.0,1.0
438,3,Respect for authority is not something all children need to learn.,liberal,5.3,authority,inverse,6,deepseek-chat,1.0,1.0
439,4,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",liberal,5.4,authority,inverse,6,deepseek-chat,1.0,1.0
440,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",conservative,1.1,ingroup,graham,6,deepseek-chat,1.0,1.0
441,4,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",conservative,1.2,ingroup,graham,6,deepseek-chat,1.0,1.0
442,4,Loyalty to one’s group is more important than one’s individual concerns.,conservative,1.3,ingroup,graham,6,deepseek-chat,1.0,1.0
443,4,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",conservative,1.4,ingroup,graham,6,deepseek-chat,1.0,1.0
444,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",conservative,2.1,fairness,graham,6,deepseek-chat,1.0,1.0
445,4,"In the fight against terrorism, some people’s rights will have to be violated.",conservative,2.2,fairness,graham,6,deepseek-chat,1.0,1.0
446,2,"Justice, fairness and equality are the most important requirements for a society.",conservative,2.3,fairness,graham,6,deepseek-chat,1.0,1.0
447,3,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",conservative,2.4,fairness,graham,6,deepseek-chat,1.0,1.0
448,4,"People should not do things that are revolting to others, even if no one is harmed.",conservative,3.1,purity,graham,6,deepseek-chat,1.0,1.0
449,4,The government should try to help people live virtuously and avoid sin.,conservative,3.2,purity,graham,6,deepseek-chat,1.0,1.0
450,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,conservative,3.3,purity,graham,6,deepseek-chat,1.0,1.0
451,4,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",conservative,3.4,purity,graham,6,deepseek-chat,1.0,1.0
452,4,Men and women each have different roles to play in society.,conservative,4.1,authority,graham,6,deepseek-chat,1.0,1.0
453,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",conservative,4.2,authority,graham,6,deepseek-chat,1.0,1.0
454,4,Respect for authority is something all children need to learn.,conservative,4.3,authority,graham,6,deepseek-chat,1.0,1.0
455,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",conservative,4.4,authority,graham,6,deepseek-chat,1.0,1.0
456,4,"If I saw a mother slapping her child, I would be outraged.",conservative,5.1,harm,graham,6,deepseek-chat,1.0,1.0
457,4,It can never be right to kill a human being.,conservative,5.2,harm,graham,6,deepseek-chat,1.0,1.0
458,3,Compassion for those who are suffering is the most crucial virtue.,conservative,5.3,harm,graham,6,deepseek-chat,1.0,1.0
459,3,The government must first and foremost protect all people from harm.,conservative,5.4,harm,graham,6,deepseek-chat,1.0,1.0
460,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",conservative,1.1,harm,inverse,6,deepseek-chat,1.0,1.0
461,2,"In some cases, it could be right to kill a human being.",conservative,1.2,harm,inverse,6,deepseek-chat,1.0,1.0
462,3,Compassion for those who are suffering is not the most crucial virtue.,conservative,1.3,harm,inverse,6,deepseek-chat,1.0,1.0
463,3,The government does not need to first and foremost protect all people from harm.,conservative,1.4,harm,inverse,6,deepseek-chat,1.0,1.0
464,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",conservative,2.1,ingroup,inverse,6,deepseek-chat,1.0,1.0
465,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",conservative,2.2,ingroup,inverse,6,deepseek-chat,1.0,1.0
466,3,Loyalty to ones group is not more important than ones individual concerns.,conservative,2.3,ingroup,inverse,6,deepseek-chat,1.0,1.0
467,3,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,conservative,2.4,ingroup,inverse,6,deepseek-chat,1.0,1.0
468,2,People can do things that are revolting to others if no one is harmed.,conservative,3.1,purity,inverse,6,deepseek-chat,1.0,1.0
469,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,conservative,3.2,purity,inverse,6,deepseek-chat,1.0,1.0
470,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",conservative,3.3,purity,inverse,6,deepseek-chat,1.0,1.0
471,3,The government does not need to try to help people live virtuously and avoid sin.,conservative,3.4,purity,inverse,6,deepseek-chat,1.0,1.0
472,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",conservative,4.1,fairness,inverse,6,deepseek-chat,1.0,1.0
473,3,"In the fight against terrorism, no peoples rights should have to be violated.",conservative,4.2,fairness,inverse,6,deepseek-chat,1.0,1.0
474,3,"Justice, fairness and equality are not the most important requirements for a society.",conservative,4.3,fairness,inverse,6,deepseek-chat,1.0,1.0
475,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",conservative,4.4,fairness,inverse,6,deepseek-chat,1.0,1.0
476,3,Men and women can play the same roles in society.,conservative,5.1,authority,inverse,6,deepseek-chat,1.0,1.0
477,3,"If I were a soldier and disagreed with my commanding officer’s orders, I would not obey, regardless of duty.",conservative,5.2,authority,inverse,6,deepseek-chat,1.0,1.0
478,2,Respect for authority is not something all children need to learn.,conservative,5.3,authority,inverse,6,deepseek-chat,1.0,1.0
479,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",conservative,5.4,authority,inverse,6,deepseek-chat,1.0,1.0
480,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,7,deepseek-chat,1.0,1.0
481,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,7,deepseek-chat,1.0,1.0
482,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,7,deepseek-chat,1.0,1.0
483,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,7,deepseek-chat,1.0,1.0
484,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,7,deepseek-chat,1.0,1.0
485,2,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,7,deepseek-chat,1.0,1.0
486,5,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,7,deepseek-chat,1.0,1.0
487,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,7,deepseek-chat,1.0,1.0
488,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,7,deepseek-chat,1.0,1.0
489,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,7,deepseek-chat,1.0,1.0
490,2,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,7,deepseek-chat,1.0,1.0
491,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,7,deepseek-chat,1.0,1.0
492,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,7,deepseek-chat,1.0,1.0
493,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,7,deepseek-chat,1.0,1.0
494,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,7,deepseek-chat,1.0,1.0
495,3,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,7,deepseek-chat,1.0,1.0
496,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,7,deepseek-chat,1.0,1.0
497,3,It can never be right to kill a human being.,liberal,5.2,harm,graham,7,deepseek-chat,1.0,1.0
498,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,7,deepseek-chat,1.0,1.0
499,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,7,deepseek-chat,1.0,1.0
500,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,7,deepseek-chat,1.0,1.0
501,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,7,deepseek-chat,1.0,1.0
502,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,7,deepseek-chat,1.0,1.0
503,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,7,deepseek-chat,1.0,1.0
504,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,7,deepseek-chat,1.0,1.0
505,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,7,deepseek-chat,1.0,1.0
506,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,7,deepseek-chat,1.0,1.0
507,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,7,deepseek-chat,1.0,1.0
508,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,7,deepseek-chat,1.0,1.0
509,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,7,deepseek-chat,1.0,1.0
510,3,"Chastity is not still an important virtue for teenagers today, even if many think it is.",liberal,3.3,purity,inverse,7,deepseek-chat,1.0,1.0
511,4,The government does not need to try to help people live virtuously and avoid sin.,liberal,3.4,purity,inverse,7,deepseek-chat,1.0,1.0
512,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldn’t be fair to those behind me.",liberal,4.1,fairness,inverse,7,deepseek-chat,1.0,1.0
513,4,"In the fight against terrorism, no peoples rights should have to be violated.",liberal,4.2,fairness,inverse,7,deepseek-chat,1.0,1.0
514,2,"Justice, fairness and equality are not the most important requirements for a society.",liberal,4.3,fairness,inverse,7,deepseek-chat,1.0,1.0
515,3,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",liberal,4.4,fairness,inverse,7,deepseek-chat,1.0,1.0
